2025-11-21 11:01:51:5151 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:02:51:5151 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 3\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:03:01:011 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 3\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:03:40:4040 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 3\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:05:10:1010 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 3\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:05:18:1818 : | debug | "POST /admin/tiers - sample=[\n  {\n    \"totalHours\": 34,\n    \"userId\": \"68c8353b700cf6aa8f97cb80\",\n    \"email\": \"john.doe@example.com\"\n  },\n  {\n    \"totalHours\": 19,\n    \"userId\": \"68c95b436ea283bbca9e89e1\",\n    \"email\": \"rajjaiswar@gmail.com\"\n  },\n  {\n    \"totalHours\": 7,\n    \"userId\": \"68c8351b1eee63d9c051fc7e\",\n    \"email\": \"admin@nest4us.org\"\n  }\n]" |
2025-11-21 11:06:58:5858 : | debug | "GET /admin/tiers - counts=[\n  {\n    \"tier\": \"Kindness Ambassador\",\n    \"range\": \"50-99\",\n    \"count\": 3\n  },\n  {\n    \"tier\": \"Change Catalyst\",\n    \"range\": \"100-149\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Service Champion\",\n    \"range\": \"150-249\",\n    \"count\": 0\n  },\n  {\n    \"tier\": \"Legacy Leader\",\n    \"range\": \"250+\",\n    \"count\": 0\n  }\n]" |
2025-11-21 11:07:40:4040 : | debug | "POST /admin/tiers - sample=[\n  {\n    \"totalHours\": 19,\n    \"userId\": \"68c95b436ea283bbca9e89e1\",\n    \"email\": \"rajjaiswar@gmail.com\"\n  },\n  {\n    \"totalHours\": 34,\n    \"userId\": \"68c8353b700cf6aa8f97cb80\",\n    \"email\": \"john.doe@example.com\"\n  },\n  {\n    \"totalHours\": 7,\n    \"userId\": \"68c8351b1eee63d9c051fc7e\",\n    \"email\": \"admin@nest4us.org\"\n  }\n]" |
2025-11-21 12:45:04:044 : | debug | "POST /admin/tiers - sample=[\n  {\n    \"totalHours\": 19,\n    \"userId\": \"68c95b436ea283bbca9e89e1\",\n    \"email\": \"rajjaiswar@gmail.com\"\n  },\n  {\n    \"totalHours\": 34,\n    \"userId\": \"68c8353b700cf6aa8f97cb80\",\n    \"email\": \"john.doe@example.com\"\n  },\n  {\n    \"totalHours\": 7,\n    \"userId\": \"68c8351b1eee63d9c051fc7e\",\n    \"email\": \"admin@nest4us.org\"\n  }\n]" |
2025-11-21 14:35:20:2020 : | debug | "GET /volunteers - Sample volunteer record: [\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"California\",\n        \"country\": \"USA\"\n      },\n      \"firstName\": \"John\",\n      \"lastName\": \"Doe\",\n      \"schoolOrganization\": \"Springfield High School\",\n      \"dateOfBirth\": \"2000-05-15T00:00:00.000Z\",\n      \"phoneNumber\": \"555-0123\",\n      \"causesOfInterest\": [\n        \"Education\",\n        \"Environment\",\n        \"Community Service\"\n      ]\n    },\n    \"_id\": \"68c8353b700cf6aa8f97cb80\",\n    \"email\": \"john.doe@example.com\",\n    \"totalHours\": 102,\n    \"thisYearHours\": 67,\n    \"tier\": \"Change Catalyst\",\n    \"badges\": [\n      \"Kindness Ambassador\",\n      \"Change Catalyst\"\n    ],\n    \"createdAt\": \"2025-09-15T15:48:11.144Z\"\n  },\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"Maharashtra\",\n        \"country\": \"India\"\n      },\n      \"firstName\": \"raj\",\n      \"lastName\": \"jaiswar\",\n      \"schoolOrganization\": \"asdfasera\",\n      \"dateOfBirth\": \"2025-09-21T00:00:00.000Z\",\n      \"phoneNumber\": \"8286231170\",\n      \"causesOfInterest\": []\n    },\n    \"_id\": \"68c95b436ea283bbca9e89e1\",\n    \"email\": \"rajjaiswar@gmail.com\",\n    \"totalHours\": 19,\n    \"thisYearHours\": 19,\n    \"tier\": \"None\",\n    \"badges\": [],\n    \"createdAt\": \"2025-09-16T12:42:43.702Z\"\n  },\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"Maharashtra\",\n        \"country\": \"India\"\n      },\n      \"firstName\": \"raj\",\n      \"lastName\": \"jaiswar\",\n      \"schoolOrganization\": \"asdfasera\",\n      \"dateOfBirth\": \"2025-09-20T00:00:00.000Z\",\n      \"phoneNumber\": \"8286231170\",\n      \"causesOfInterest\": []\n    },\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\",\n    \"totalHours\": 0,\n    \"thisYearHours\": 0,\n    \"tier\": \"None\",\n    \"badges\": [],\n    \"createdAt\": \"2025-09-16T06:00:55.896Z\"\n  }\n]" |
2025-11-21 14:35:23:2323 : | debug | "GET /volunteers - Sample volunteer record: [\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"California\",\n        \"country\": \"USA\"\n      },\n      \"firstName\": \"John\",\n      \"lastName\": \"Doe\",\n      \"schoolOrganization\": \"Springfield High School\",\n      \"dateOfBirth\": \"2000-05-15T00:00:00.000Z\",\n      \"phoneNumber\": \"555-0123\",\n      \"causesOfInterest\": [\n        \"Education\",\n        \"Environment\",\n        \"Community Service\"\n      ]\n    },\n    \"_id\": \"68c8353b700cf6aa8f97cb80\",\n    \"email\": \"john.doe@example.com\",\n    \"totalHours\": 102,\n    \"thisYearHours\": 67,\n    \"tier\": \"Change Catalyst\",\n    \"badges\": [\n      \"Kindness Ambassador\",\n      \"Change Catalyst\"\n    ],\n    \"createdAt\": \"2025-09-15T15:48:11.144Z\"\n  },\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"Maharashtra\",\n        \"country\": \"India\"\n      },\n      \"firstName\": \"raj\",\n      \"lastName\": \"jaiswar\",\n      \"schoolOrganization\": \"asdfasera\",\n      \"dateOfBirth\": \"2025-09-21T00:00:00.000Z\",\n      \"phoneNumber\": \"8286231170\",\n      \"causesOfInterest\": []\n    },\n    \"_id\": \"68c95b436ea283bbca9e89e1\",\n    \"email\": \"rajjaiswar@gmail.com\",\n    \"totalHours\": 19,\n    \"thisYearHours\": 19,\n    \"tier\": \"None\",\n    \"badges\": [],\n    \"createdAt\": \"2025-09-16T12:42:43.702Z\"\n  },\n  {\n    \"profile\": {\n      \"location\": {\n        \"state\": \"Maharashtra\",\n        \"country\": \"India\"\n      },\n      \"firstName\": \"raj\",\n      \"lastName\": \"jaiswar\",\n      \"schoolOrganization\": \"asdfasera\",\n      \"dateOfBirth\": \"2025-09-20T00:00:00.000Z\",\n      \"phoneNumber\": \"8286231170\",\n      \"causesOfInterest\": []\n    },\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\",\n    \"totalHours\": 0,\n    \"thisYearHours\": 0,\n    \"tier\": \"None\",\n    \"badges\": [],\n    \"createdAt\": \"2025-09-16T06:00:55.896Z\"\n  }\n]" |
