2025-12-06 01:13:01:011 : | debug | "POST /register - Incoming data: email=testkumar@gmail.com" |
2025-12-06 01:13:09:099 : | debug | "POST /register - Incoming data: email=testkumar123@gmail.com" |
2025-12-06 01:13:15:1515 : | debug | "POST /register - Incoming data: email=testkumar12322@gmail.com" |
2025-12-06 01:15:26:2626 : | debug | "POST /register - Incoming data: email=testkumar12322@gmail.com" |
2025-12-06 01:18:16:1616 : | debug | "POST /register - Incoming data: email=testkumar12322@gmail.com" |
2025-12-06 01:19:50:5050 : | debug | "POST /register - Incoming data: email=testkumar12322@gmail.com" |
2025-12-06 01:21:13:1313 : | debug | "POST /register - Incoming data: email=testtest@gmail.com" |
2025-12-06 01:21:28:2828 : | debug | "POST /login - Incoming request body={\"email\":\"testtest@gmail.com\",\"password\":\"test@123\"}" |
2025-12-06 01:21:28:2828 : | debug | "POST /login - Login successful for email=testtest@gmail.com" |
2025-12-06 01:21:28:2828 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:25:15:1515 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:28:40:4040 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:29:01:011 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:29:12:1212 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:31:43:4343 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"test\",\"country\":\"test\"},\"fullName\":\"TEst\",\"profilePicture\":\"/uploads/userProfilePictures/1764964273411-435385420.png\",\"schoolOrganization\":\"TEst\",\"dateOfBirth\":\"2025-12-05T00:00:00.000Z\",\"phoneNumber\":\"8765432109\",\"causesOfInterest\":[\"steastea\"]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"_id\":\"693337b141569b2a7c257e6c\",\"email\":\"testtest@gmail.com\",\"password\":\"$2a$12$q2q1H1PdDZzGuRVHdv8PHOE4epvj6oGWXomvsR4tFsnWnvPUjAhL2\",\"provider\":\"local\",\"role\":\"volunteer\",\"totalHours\":0,\"thisYearHours\":0,\"tier\":\"None\",\"badges\":[],\"referralCount\":0,\"createdAt\":\"2025-12-05T19:51:13.469Z\",\"__v\":0},\"newTierUnlocked\":true,\"unlockedTier\":\"None\",\"tierContent\":null}" |
